ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,NIVEL_RIESGO_REAL,NIVEL_RIESGO_PREDICHO,TASA_REAL,TASA_PREDICHA,DELITOS_ESTIMADOS
2026,3,SANTIAGO DE CHUCO,QUIRUVILCA,Violencia contra la mujer e integrantes,BAJO,BAJO,1.927,2.3531411514196074,2
2026,3,ASCOPE,RAZURI,Extorsión,BAJO,BAJO,1.009,1.7414686587715127,2
2026,3,ASCOPE,RAZURI,Hurto,BAJO,BAJO,3.028,2.064977065420891,2
2026,3,ASCOPE,RAZURI,Violencia contra la mujer e integrantes,MEDIO,BAJO,4.038,3.1090154579182294,3
2026,3,TRUJILLO,SALAVERRY,Estafa,BAJO,BAJO,0.923,0.6160466420715109,1
2026,3,TRUJILLO,SALAVERRY,Extorsión,BAJO,BAJO,1.385,1.3168803848039627,3
2026,3,TRUJILLO,SALAVERRY,Hurto,MEDIO,MEDIO,6.0,4.830505952254867,10
2026,3,TRUJILLO,SALAVERRY,Robo,BAJO,BAJO,0.462,1.2412143238566806,3
2026,3,TRUJILLO,SALAVERRY,Violencia contra la mujer e integrantes,MEDIO,MEDIO,5.539,6.654281754560377,14
2026,3,OTUZCO,SALPO,Hurto,BAJO,BAJO,3.564,3.6008975848796014,2
2026,3,OTUZCO,SALPO,Violencia contra la mujer e integrantes,BAJO,BAJO,1.782,2.1459701709860957,1
2026,3,PACASMAYO,SAN JOSE,Violencia contra la mujer e integrantes,MEDIO,BAJO,3.051,2.95907282771559,4
2026,3,PACASMAYO,SAN PEDRO DE LLOC,Estafa,BAJO,BAJO,1.158,0.9145360668744138,2
2026,3,PACASMAYO,SAN PEDRO DE LLOC,Extorsión,MEDIO,BAJO,2.315,1.0589864864553467,2
2026,3,PACASMAYO,SAN PEDRO DE LLOC,Hurto,MEDIO,MEDIO,3.473,3.0643512531830934,5
2026,3,PACASMAYO,SAN PEDRO DE LLOC,Robo,BAJO,BAJO,0.579,1.3418498574596454,2
2026,3,PACASMAYO,SAN PEDRO DE LLOC,Violencia contra la mujer e integrantes,MEDIO,MEDIO,5.209,5.458434543126871,9
2026,3,SANCHEZ CARRION,SANAGORAN,Violencia contra la mujer e integrantes,BAJO,BAJO,0.637,0.7072849887785434,1
2026,3,ASCOPE,SANTIAGO DE CAO,Estafa,BAJO,BAJO,0.99,1.236677073717665,2
2026,3,ASCOPE,SANTIAGO DE CAO,Extorsión,BAJO,BAJO,0.495,1.427031721022383,3
2026,3,ASCOPE,SANTIAGO DE CAO,Robo,BAJO,BAJO,0.495,1.6357038753561342,3
2026,3,ASCOPE,SANTIAGO DE CAO,Violencia contra la mujer e integrantes,BAJO,MEDIO,0.99,3.4826546231063573,7
2026,3,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Estafa,BAJO,BAJO,0.466,0.6620933165814458,1
2026,3,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Violencia contra la mujer e integrantes,BAJO,MEDIO,0.931,1.9337555419635328,4
2026,3,SANCHEZ CARRION,SARIN,Hurto,BAJO,BAJO,1.038,1.3172570444750284,1
2026,3,GRAN CHIMU,SAYAPULLO,Hurto,BAJO,BAJO,3.186,1.8501738311049736,1
2026,3,GRAN CHIMU,SAYAPULLO,Violencia contra la mujer e integrantes,MEDIO,BAJO,6.371,3.2046661883878236,2
2026,3,TRUJILLO,SIMBAL,Violencia contra la mujer e integrantes,BAJO,BAJO,7.269,5.863117310167007,2
2026,3,OTUZCO,SINSICAP,Secuestro,BAJO,BAJO,1.247,1.5274291972444147,1
2026,3,PATAZ,TAYABAMBA,Extorsión,BAJO,BAJO,0.693,0.8557805731145983,1
2026,3,PATAZ,TAYABAMBA,Hurto,BAJO,BAJO,2.08,1.0132415134868595,1
2026,3,PATAZ,TAYABAMBA,Violencia contra la mujer e integrantes,MEDIO,MEDIO,3.467,4.748413330049252,7
2026,3,TRUJILLO,TRUJILLO,Estafa,ALTO,ALTO,2.702,2.724146210453822,90
2026,3,TRUJILLO,TRUJILLO,Extorsión,ALTO,ALTO,3.248,2.924511784897897,96
2026,3,TRUJILLO,TRUJILLO,Hurto,ALTO,ALTO,13.115,14.0668260758553,463
2026,3,TRUJILLO,TRUJILLO,Robo,ALTO,ALTO,2.763,4.018275661820935,132
2026,3,TRUJILLO,TRUJILLO,Secuestro,BAJO,BAJO,0.03,0.06791603124277988,2
2026,3,TRUJILLO,TRUJILLO,Violencia contra la mujer e integrantes,ALTO,ALTO,8.379,9.095640265416568,300
2026,3,BOLIVAR,UCHUMARCA,Violencia contra la mujer e integrantes,BAJO,BAJO,8.261,7.104299339915418,2
2026,3,OTUZCO,USQUIL,Violencia contra la mujer e integrantes,BAJO,BAJO,0.398,0.6861328034069983,2
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Estafa,MEDIO,MEDIO,0.511,0.646043321273514,5
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Extorsión,MEDIO,BAJO,0.766,0.5888824212530405,5
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Hurto,MEDIO,MEDIO,1.532,2.0820153668804595,16
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Robo,MEDIO,MEDIO,0.511,1.105712205635313,9
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Secuestro,BAJO,BAJO,0.128,0.13055745873792451,1
2026,3,TRUJILLO,VICTOR LARCO HERRERA,Violencia contra la mujer e integrantes,MEDIO,MEDIO,1.149,2.4166211715309682,19
2026,3,VIRU,VIRU,Estafa,MEDIO,MEDIO,0.566,0.5120244533729774,5
2026,3,VIRU,VIRU,Extorsión,ALTO,MEDIO,2.829,1.6231593263383073,14
2026,3,VIRU,VIRU,Hurto,MEDIO,ALTO,1.471,2.295578869906319,20
2026,3,VIRU,VIRU,Robo,MEDIO,MEDIO,1.132,1.9803276794707472,18
2026,3,VIRU,VIRU,Violencia contra la mujer e integrantes,ALTO,ALTO,2.942,4.761180859923252,42
2026,4,OTUZCO,AGALLPAMPA,Hurto,BAJO,BAJO,1.09,1.2964321013038365,1
2026,4,OTUZCO,AGALLPAMPA,Robo,BAJO,BAJO,1.09,1.3078973136132794,1
2026,4,OTUZCO,AGALLPAMPA,Violencia contra la mujer e integrantes,BAJO,BAJO,1.09,1.384613503854701,1
2026,4,ASCOPE,ASCOPE,Extorsión,MEDIO,BAJO,9.232,3.1392417147728557,2
2026,4,ASCOPE,ASCOPE,Violencia contra la mujer e integrantes,BAJO,BAJO,4.616,4.171261622907239,3
2026,4,PATAZ,BULDIBUYO,Violencia contra la mujer e integrantes,BAJO,BAJO,2.946,3.1595255408089016,1
2026,4,JULCAN,CALAMARCA,Violencia contra la mujer e integrantes,BAJO,BAJO,2.158,2.2460527646728203,1
2026,4,JULCAN,CARABAMBA,Violencia contra la mujer e integrantes,BAJO,BAJO,1.746,2.030100478350393,1
2026,4,ASCOPE,CASA GRANDE,Extorsión,MEDIO,MEDIO,4.052,2.749120234394428,9
2026,4,ASCOPE,CASA GRANDE,Hurto,BAJO,BAJO,0.623,1.3425445885310816,4
2026,4,ASCOPE,CASA GRANDE,Violencia contra la mujer e integrantes,BAJO,MEDIO,0.935,2.795161743187521,9
2026,4,GRAN CHIMU,CASCAS,Extorsión,BAJO,BAJO,0.765,1.008260430635551,1
2026,4,GRAN CHIMU,CASCAS,Hurto,BAJO,BAJO,0.765,1.7616429037556642,2
2026,4,GRAN CHIMU,CASCAS,Violencia contra la mujer e integrantes,MEDIO,MEDIO,10.716,9.041778338564903,12
2026,4,VIRU,CHAO,Estafa,BAJO,BAJO,0.19,0.5817346504355903,3
2026,4,VIRU,CHAO,Extorsión,BAJO,BAJO,0.19,0.6264584662408251,3
2026,4,VIRU,CHAO,Hurto,MEDIO,MEDIO,1.901,2.5300031235046267,13
2026,4,VIRU,CHAO,Robo,MEDIO,MEDIO,1.33,1.9580978975558117,10
2026,4,VIRU,CHAO,Violencia contra la mujer e integrantes,ALTO,ALTO,5.322,6.1496086615054795,32
2026,4,OTUZCO,CHARAT,Extorsión,BAJO,BAJO,3.994,4.102140023347511,1
2026,4,CHEPEN,CHEPEN,Estafa,MEDIO,MEDIO,2.448,2.2978714207897646,12
2026,4,CHEPEN,CHEPEN,Extorsión,ALTO,ALTO,4.142,3.5547058868512673,19
2026,4,CHEPEN,CHEPEN,Hurto,ALTO,ALTO,4.33,3.96202742785703,21
2026,4,CHEPEN,CHEPEN,Robo,MEDIO,MEDIO,2.636,3.189302762634225,17
2026,4,CHEPEN,CHEPEN,Violencia contra la mujer e integrantes,ALTO,ALTO,6.401,6.8863938822739605,37
2026,4,ASCOPE,CHICAMA,Extorsión,BAJO,BAJO,0.586,1.4372807948855828,2
2026,4,ASCOPE,CHICAMA,Hurto,BAJO,BAJO,1.173,1.8207324876706177,3
2026,4,ASCOPE,CHICAMA,Violencia contra la mujer e integrantes,MEDIO,MEDIO,2.932,2.9565902848597188,5
