ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,10,PATAZ,TAURIJA,Violencia contra la mujer e integrantes,2789,14.0,0,0,0.0,0,1,3.586,BAJO
2024,10,PATAZ,TAYABAMBA,Estafa,14333,42.1,0,0,2.0,0,1,0.698,BAJO
2024,10,PATAZ,TAYABAMBA,Extorsión,14333,42.1,1,2,1.33,2,2,1.395,BAJO
2024,10,PATAZ,TAYABAMBA,Hurto,14333,42.1,1,1,1.33,1,1,0.698,BAJO
2024,10,PATAZ,TAYABAMBA,Secuestro,14333,42.1,0,0,0.0,1,1,0.698,BAJO
2024,10,PATAZ,TAYABAMBA,Violencia contra la mujer e integrantes,14333,42.1,3,2,3.33,5,9,6.279,MEDIO
2024,10,TRUJILLO,TRUJILLO,Estafa,326129,8285.8,98,91,105.67,-20,98,3.005,ALTO
2024,10,TRUJILLO,TRUJILLO,Extorsión,326129,8285.8,96,108,105.33,36,112,3.434,ALTO
2024,10,TRUJILLO,TRUJILLO,Hurto,326129,8285.8,597,613,595.0,-158,514,15.761,ALTO
2024,10,TRUJILLO,TRUJILLO,Robo,326129,8285.8,264,245,253.33,-203,226,6.93,ALTO
2024,10,TRUJILLO,TRUJILLO,Secuestro,326129,8285.8,4,3,3.67,-1,1,0.031,BAJO
2024,10,TRUJILLO,TRUJILLO,Violencia contra la mujer e integrantes,326129,8285.8,196,180,205.0,26,226,6.93,ALTO
2024,10,BOLIVAR,UCHUMARCA,Violencia contra la mujer e integrantes,2470,11.6,0,0,0.0,1,1,4.049,BAJO
2024,10,PATAZ,URPAY,Robo,2655,20.6,0,0,0.0,1,1,3.766,BAJO
2024,10,OTUZCO,USQUIL,Estafa,25362,56.9,0,0,0.0,1,1,0.394,BAJO
2024,10,OTUZCO,USQUIL,Hurto,25362,56.9,1,0,0.67,1,1,0.394,BAJO
2024,10,OTUZCO,USQUIL,Violencia contra la mujer e integrantes,25362,56.9,1,3,3.33,2,3,1.183,BAJO
2024,10,TRUJILLO,VICTOR LARCO HERRERA,Estafa,76031,4219.3,6,8,7.0,5,10,1.315,MEDIO
2024,10,TRUJILLO,VICTOR LARCO HERRERA,Extorsión,76031,4219.3,3,7,4.0,-2,7,0.921,MEDIO
2024,10,TRUJILLO,VICTOR LARCO HERRERA,Hurto,76031,4219.3,44,48,45.67,-9,44,5.787,ALTO
2024,10,TRUJILLO,VICTOR LARCO HERRERA,Robo,76031,4219.3,22,26,26.0,-6,25,3.288,ALTO
2024,10,TRUJILLO,VICTOR LARCO HERRERA,Violencia contra la mujer e integrantes,76031,4219.3,22,20,20.0,-26,13,1.71,MEDIO
2024,10,VIRU,VIRU,Estafa,83303,77.3,6,0,4.33,1,6,0.72,MEDIO
2024,10,VIRU,VIRU,Extorsión,83303,77.3,20,28,23.0,-2,17,2.041,ALTO
2024,10,VIRU,VIRU,Hurto,83303,77.3,14,18,14.0,-2,17,2.041,ALTO
2024,10,VIRU,VIRU,Robo,83303,77.3,16,19,19.33,-9,17,2.041,ALTO
2024,10,VIRU,VIRU,Violencia contra la mujer e integrantes,83303,77.3,30,32,34.0,-9,41,4.922,ALTO
2024,11,OTUZCO,AGALLPAMPA,Hurto,9320,36.0,3,1,1.67,3,3,3.219,BAJO
2024,11,OTUZCO,AGALLPAMPA,Violencia contra la mujer e integrantes,9320,36.0,1,1,0.67,0,2,2.146,BAJO
2024,11,SANTIAGO DE CHUCO,ANGASMARCA,Extorsión,7316,47.8,0,0,0.0,1,1,1.367,BAJO
2024,11,SANTIAGO DE CHUCO,ANGASMARCA,Robo,7316,47.8,0,0,0.0,1,1,1.367,BAJO
